uniqueId,name,naSales,euSales,jpSales,otherSales,globalSales
71,Aedis Eclipse: Generation of Chaos,0.02,0.0,0.0,0.0,0.02
72,Aegis of Earth: Protonovus Assault,0.02,0.0,0.0,0.0,0.03
73,Aeon Flux,0.02,0.02,0.0,0.01,0.04
74,Aeon Flux,0.01,0.0,0.0,0.0,0.01
75,Aero Elite: Combat Academy,0.04,0.03,0.0,0.01,0.07
76,Afrika,0.12,0.0,0.08,0.01,0.22
77,Afro Samurai,0.16,0.05,0.0,0.02,0.24
78,Afro Samurai,0.12,0.05,0.0,0.03,0.2
79,A Game of Thrones: Genesis,0.0,0.03,0.0,0.01,0.03
80,Agatha Christie: And Then There Were None,0.06,0.01,0.0,0.01,0.07
81,Agatha Christie: Evil Under the Sun,0.06,0.01,0.0,0.01,0.08
82,Agatha Christie: The ABC Murders,0.08,0.01,0.0,0.01,0.1
83,Agatha Christie: The ABC Murders,0.0,0.02,0.0,0.0,0.02
84,Agatha Christie's The ABC Murders,0.01,0.01,0.0,0.0,0.03
85,Agatha Christie's The ABC Murders,0.01,0.0,0.0,0.0,0.01
86,Age of Conan: Rise of the Godslayer,0.0,0.02,0.0,0.0,0.03
87,Age of Empires: Mythologies,0.16,0.03,0.0,0.02,0.21
88,Age of Empires: The Age of Kings,0.18,0.02,0.0,0.02,0.22
89,Age of Empires II: The Age of Kings,0.01,0.08,0.0,0.01,0.09
90,Age of Empires III,0.0,0.33,0.0,0.05,0.38
91,Age of Empires III: The Asian Dynasties,0.0,0.05,0.0,0.01,0.06
92,Age of Empires Online,0.01,0.04,0.0,0.01,0.06
93,Age of Mythology,0.02,0.06,0.0,0.01,0.09
94,Age of Mythology: The Titans,0.02,0.02,0.0,0.0,0.04
95,Aggressive Inline,0.17,0.13,0.0,0.04,0.35
96,Aggressive Inline,0.05,0.01,0.0,0.0,0.06
97,Aggressive Inline,0.04,0.01,0.0,0.0,0.06
98,Airblade,0.11,0.09,0.0,0.03,0.23
99,Airborne Troops: Countdown to D-Day,0.06,0.05,0.0,0.02,0.12
100,Air Conflicts: Secret Wars,0.0,0.02,0.0,0.01,0.03
101,AirForce Delta Storm,0.14,0.04,0.0,0.01,0.18
102,AirForce Delta Strike,0.05,0.04,0.0,0.01,0.11
103,Airline Tycoon 2,0.0,0.04,0.0,0.01,0.05
104,Alan Wake,0.66,0.5,0.05,0.13,1.33
105,Alan Wake,0.0,0.06,0.0,0.01,0.06
106,Alias,0.05,0.04,0.0,0.01,0.11
107,Alias,0.04,0.01,0.0,0.0,0.05
108,Alice: Madness Returns,0.22,0.24,0.04,0.08,0.58
109,Alice: Madness Returns,0.27,0.14,0.04,0.04,0.5
110,Alice: Madness Returns,0.0,0.1,0.0,0.02,0.12
111,Alice in Wonderland,0.25,0.21,0.0,0.05,0.51
112,Alien: Isolation,0.34,0.57,0.04,0.17,1.13
113,Alien: Isolation,0.22,0.24,0.0,0.04,0.51
114,Alien: Isolation,0.0,0.14,0.0,0.01,0.14
115,Alien Hominid,0.05,0.04,0.0,0.01,0.1
116,Alien Hominid,0.07,0.02,0.0,0.0,0.09
117,Alien Resurrection,0.09,0.06,0.0,0.01,0.16
118,Aliens: Colonial Marines,0.36,0.34,0.0,0.07,0.77
119,Aliens: Colonial Marines,0.2,0.29,0.0,0.11,0.6
120,Aliens: Colonial Marines,0.1,0.06,0.0,0.02,0.18
121,Aliens: Infestation,0.09,0.05,0.0,0.02,0.16
122,Aliens in the Attic,0.05,0.0,0.0,0.0,0.05
123,Aliens versus Predator: Extinction,0.09,0.07,0.0,0.02,0.19
124,Aliens versus Predator: Extinction,0.06,0.02,0.0,0.0,0.08
125,Aliens vs Predator,0.55,0.4,0.0,0.11,1.06
126,Aliens vs Predator,0.41,0.46,0.0,0.18,1.04
127,Aliens vs Predator,0.0,0.17,0.0,0.02,0.19
128,Aliens vs Predator: Requiem,0.03,0.12,0.0,0.07,0.22
129,Alien Syndrome,0.07,0.0,0.0,0.01,0.08
130,Alien Syndrome,0.05,0.0,0.0,0.0,0.06
131,All-Pro Football 2K8,0.24,0.0,0.0,0.02,0.26
132,All-Pro Football 2K8,0.14,0.0,0.0,0.01,0.15
133,All-Star Baseball 2002,0.27,0.21,0.0,0.07,0.56
134,All-Star Baseball 2002,0.17,0.04,0.0,0.01,0.22
